Name,Set code,Language,Quantity
Bonded Herdbeast // Plated Kilnbeast,MOM,en,2
Bonders' Enclave,M3C,en,1
Bone Saw,BRR,de,1
Bonesplitter,CMR,de,2
Boom Scholar,DFT,de,1
Boomerang,DPA,de,3
Boon-Bringer Valkyrie,MOM,en,1
Boreal Centaur,CSP,de,1
Boreal Shelf,CSP,de,2
Born to Drive,NEO,en,1
Boros Fury-Shield,RAV,de,2
Boros Garrison,CLU,de,1
Borrowed Hostility,INR,de,1
Boseiju Reaches Skyward // Branch of Boseiju,NEO,en,1
Bottle Gnomes,CM2,de,1
Boulderbranch Golem,BRO,de,1
Bounce Off,DFT,de,3
Bound by Moonsilver,INR,de,1
Bountiful Promenade,CLB,de,2
Brace for Impact,DIS,de,1
"Braids, Arisen Nightmare",DSC,de,1
Brain Pry,DIS,de,1
Brainspoil,RAV,de,1
Brainstorm,CST,de,3
Bramble Armor,VOW,de,1
Bramble Sovereign,CLB,de,1
Bramblewood Paragon,MOR,de,1
Brandywine Farmer,LTR,de,2
Brass Knuckles,PIP,de,1
Brass's Bounty,FDN,de,1
Brave the Elements,C14,de,1
Brave-Kin Duo,BLB,de,1
Brazen Dwarf,AFR,en,1
Brazen Scourge,FDN,de,1
Break Down,PIP,de,1
Breath of Fury,C16,de,1
Breath Weapon,CLB,de,1
Breathkeeper Seraph,VOC,en,1
Brightfield Glider,DFT,de,4
Brightfield Mustang,DFT,de,1
Brightspear Zealot,EOE,de,5
Brineborn Cutthroat,FDN,de,3
Broadcast Rambler,DFT,de,3
Broken Wings,DFT,de,3
Broken Wings,DFT,en,1
Broken Wings,FDN,de,1
Bronze Guardian,C21,de,1
Bronze Walrus,CLB,de,2
Broodguard Elite,EOE,de,1
Broodheart Engine,DFT,de,2
Brotherhood Outcast,PIP,de,1
"Brudiclad, Telchor Engineer",BRC,de,1
Brutal Deceiver,CHK,de,2
Brute Suit,NEO,en,1
Builder's Talent,BLB,de,1
Bulette,AFR,de,1
Bulette,AFR,en,2
Bull Aurochs,CSP,de,1
Bull's Strength,AFR,en,1
Bulwark Ox,DFT,de,1
Burden of Greed,DST,de,1
Burglar Rat,FDN,de,2
Buried Ruin,BRC,de,1
Buried Ruin,EOC,de,1
Buried Ruin,PIP,de,1
Burn Trail,SHM,de,1
Burner Rocket,DFT,de,3
Burning Hands,AFR,en,1
Burning Sun's Fury,MOM,en,1
Burning-Tree Bloodscale,GPT,de,1
Burnished Hart,FDN,de,1
Burnout Bashtronaut,DFT,de,1
Burr Grafter,CHK,de,4
Burrog Befuddler,FDN,de,1
Burst Lightning,FDN,de,2
Bushwhack,FDN,de,1
Bygone Colossus,EOE,de,1
Cackling Prowler,FDN,de,2
"Cadira, Caller of the Small",CLB,de,1
"Caelorna, Coral Tyrant",DFT,de,2
Cage of Hands,CMR,de,2
"Cait, Cage Brawler",PIP,de,1
Call of the Ring,LTR,de,1
Call to Glory,CHK,de,4
Callous Deceiver,CHK,de,2
Camera Launcher,DFT,de,3
Campus Guide,FDN,de,3
Cancel,10E,de,1
Cancel,FDN,de,1
Candlekeep Inspiration,CLB,de,1
Candlekeep Sage,CLB,de,3
Candles' Glow,CHK,de,1
Canopy Vista,PIP,de,1
Canyon Slough,DSC,de,1
Canyon Vaulter,DFT,de,1
Capital City,FIN,de,1
"Captain Howler, Sea Scourge",DFT,de,1
"Caradora, Heart of Alacria",DFT,de,1
Carnelian Orb of Dragonkind,CLB,de,2
Carnelian Orb of Dragonkind,FDN,de,1
Carom,RVR,de,2
Carrion Locust,BRO,de,1
Carrot Cake,BLB,de,1
Carry Away,DST,de,1
Cascade Bluffs,EOC,de,1
"Cass, Hand of Vengeance",PIP,de,1
Cat,TDFT,de,1
Cat,TFDN,de,1
Cat Collector,FDN,de,1
Catalog,8ED,de,1
Cathar Commando,INR,de,1
Caves of Chaos Adventurer,CLB,de,1
"Celes, Rune Knight",FIC,de,1
Cemetery Recruitment,FDN,de,1
Centaur Safeguard,RAV,de,2
Cerebral Download,EOE,de,1
Chain Reaction,EOC,de,1
"Chainer, Nightmare Adept",MH2,de,1
Champion's Helm,PIP,de,1
Champions from Beyond,FIC,en,1
"Chandra, Dressed to Kill",INR,de,1
"Chandra, Spark Hunter Emblem",TDFT,de,1
Changeling Sentinel,MOR,de,1
Channel the Suns,5DN,de,1
Chant of Vitu-Ghazi,MOC,de,1
Chaos Warp,BRC,de,1
Chaos Warp,EOC,de,1
Chaos Warp,PIP,de,1
Charcoal Diamond,CLB,de,2
Chardalyn Dragon,CLB,de,1
Charisma Bobblehead,PIP,en,1
Charmed Sleep,AFR,en,1
Chastise,9ED,de,1
Check for Traps,AFR,en,1
Chief of the Foundry,BRC,de,1
Chill to the Bone,CSP,de,1
Chimeric Egg,DST,de,1
Chimney Imp,MRD,de,1
Chocobo Kick,FIN,de,1
Chocobo Knights,FIC,de,1
Chocobo Racetrack,FIN,de,1
Choked Estuary,FIC,en,1
Choked Estuary,MKC,de,1
Chord of Calling,RVR,de,1
Chorus of the Conclave,CMD,de,1
Chromatic Sphere,MRD,de,3
Chromatic Star,BRR,de,1
Chrome Companion,EOE,de,3
Chrome Courier,BRC,de,1
Chrome Host Seedshark,EOC,de,1
Cinder Glade,PIP,de,1
Cinderhaze Wretch,SHM,de,1
Cindering Cutthroat,BLB,de,2
Circle of Affliction,PLC,de,2
Circle of Power,FIN,en,1
Circle of Protection: Black,9ED,de,1
Circle of Protection: Red,9ED,de,1
Circle of the Land Druid,CLB,de,1
Cirith Ungol Patrol,LTR,de,1
Citadel Gate,CLB,de,2
Citanul Stalwart,BRO,de,1
Citanul Woodreaders,TSR,de,1
Civic Wayfinder,DDR,de,2
Claim the Precious,LTR,de,1
Clamorous Ironclad,DFT,de,2
Clattering Skeletons,AFR,de,1
Clawing Torment,NEO,en,1
Cleansing Nova,FIC,en,1
Cleric Class,AFR,de,1
Cliffgate,CLB,de,1
Clifftop Retreat,FIC,de,1
Clifftop Retreat,ISD,en,1
Clifftop Retreat,PIP,de,1
Clifftop Retreat,YEOE,de,1
Clinging Darkness,RAV,de,3
Clinquant Skymage,FDN,de,1
Cloak of the Bat,CLB,de,3
Cloaked Cadet,VOW,de,1
Cloakwood Hermit,CLB,de,1
Cloakwood Swarmkeeper,CLB,de,1
Clockwork Droid,WHO,de,1
Clockwork Fox,CLB,de,1
Close Encounter,EOE,de,1
Cloud Elemental,MM2,de,1
Cloud Key,EOC,de,1
Cloud Key,TSR,de,1
Cloud of Darkness,FIN,de,1
Cloudbound Moogle,FIN,de,1
Cloudpost,M3C,de,1
Cloudsculpt Technician,EOE,de,4
Cloudspire Captain,DFT,de,2
Cloudspire Skycycle,DFT,de,2
Cloudsteel Kirin,NEO,de,4
Clue,TINR,de,1
Clue,TWHO,de,2
Coalhauler Swine,RAV,de,1
Coastal Hornclaw,8ED,de,1
Cobbled Lancer,VOW,de,1
Codecracker Hound,EOE,de,3
"Codsworth, Handy Helper",PIP,de,1
Coiling Oracle,BLC,de,1
Coin of Fate,FIC,de,1
Coliseum Behemoth,FIN,de,3
Collective Brutality,INR,de,1
Collision Course,DFT,de,2
Combat Courier,BRO,de,1
Combustible Gearhulk,FIC,de,1
Comet Crawler,EOE,de,3
Command Bridge,EOE,de,5
Command Tower,CLB,de,2
Command Tower,DRC,de,1
Command Tower,EOC,de,1
Command Tower,FIC,de,1
Command Tower,FIC,en,1
Command Tower,M3C,de,2
Command Tower,PIP,de,1
Commandeer,CMM,de,1
Commander Sofia Daguerre,PIP,de,1
Commander's Sphere,BRC,de,1
Commander's Sphere,DRC,de,1
Commander's Sphere,FIC,de,1
Commune with Beavers,FIN,de,1
Commune with Nature,CHK,de,2
Compelled Duel,AFR,de,1
Compelling Deterrence,INR,de,1
Complete the Circuit,MOM,en,1
Conclave Equenaut,DDF,de,1
Conclave's Blessing,RAV,de,1
Condemn,SPG,de,1
Condescend,JVC,de,1
Conduct Electricity,BLB,de,2
Cone of Cold,CLB,de,1
Confiscate,CMR,de,2
Conjurer's Bauble,5DN,de,1
Construct,TBRC,de,4
Consult the Star Charts,EOE,de,1
Consuming Aberration,FDN,de,1
Consuming Vortex,CHK,de,2
Contaminated Aquifer,FIC,en,1
Contraband Livestock,CLB,de,1
Convolute,RAV,de,2
Coordinated Maneuver,TDM,de,1
Copy,TBLC,de,4
Copy,TFIN,de,4
Copy,TPIP,de,2
Copy,TWHO,de,2
Coral Eel,9ED,de,2
Coral Sword,FIN,de,1
Coretapper,EOC,de,1
Cornered by Black Mages,FIN,de,3
Coronation of Chaos,CLB,de,2
Corsair Captain,FDN,de,1
Counsel of the Soratami,10E,de,3
Count on Luck,DFT,de,2
Courageous Goblin,FDN,de,1
Court of Grace,ONC,en,1
Cover of Winter,CSP,de,1
Coveted Jewel,FIC,en,1
Crackling Cyclops,FDN,de,1
Crackling Doom,FIC,de,1
Cradle Clearcutter,BRO,de,1
Cradle of Safety,VOW,de,1
Cradle to Grave,PLC,de,1
Crafty Pathmage,10E,de,1
Cranial Plating,BRC,de,1
Crash and Burn,DFT,de,3
Crawl from the Cellar,INR,de,1
Creeping Tar Pit,CLB,de,1
Cremate,GPT,de,1
Criminal Past,CLB,de,1
Crimson Caravaneer,PIP,de,1
Crossbow Infantry,9ED,de,3
Crossway Troublemakers,FDN,de,1
Crow of Dark Tidings,FDN,de,1
Crumb and Get It,BLB,de,1
Crumbling Necropolis,BRC,de,1
Crumbling Necropolis,LCC,de,1
Crushing Pain,CHK,de,1
Crux of Fate,FIC,en,1
Cry of Contrition,GPT,de,2
Cryoclasm,10E,de,1
Cryogen Relic,EOE,de,3
Cryoshatter,EOE,de,3
Crypt Champion,GK2,de,1
Crypt Feaster,FDN,de,2
Cryptothrall,40K,en,1
Crystal Barricade,FDN,de,1
Crystal Dragon // Rob the Hoard,CLB,de,1
Crystal Fragments // Summon: Alexander,FIN,de,1
Crystalline Crawler,EOC,de,1
Cult of Skaro,WHO,de,1
Cultist of the Absolute,CLB,de,1
Curate,BRO,de,1
Cursecloth Wrappings,DFT,de,2
Cursed Mirror,BRC,de,1
Cut a Deal,CLB,de,1
Cut a Deal,FIC,en,1
Cut Propulsion,EOE,de,1
Cut Short,MOM,en,1
"Cyan, Vengeful Samurai",FIC,de,1
Cyber Conversion,WHO,de,1
Cyberdrive Awakener,EOC,de,1
Cyberman,TWHO,de,3
Cyberman Patrol,WHO,de,1
Cybermat,WHO,de,1
Cybermen Squadron,WHO,de,1
Cybership,WHO,de,1
Cytospawn Shambler,DIS,de,2
Daggerfang Duo,BLB,de,3
Dalek,TWHO,de,5
Dalek Drone,WHO,de,1
Dalek Drone,WHO,en,2
Dalek Squadron,WHO,de,1
Dampen Thought,MMA,de,1
Dance of Shadows,CHK,de,1
Dancer's Chakrams,FIC,en,1
"Darien, King of Kjeldor",MKC,de,1
Daring Mechanic,DFT,de,2
Daring Waverider,BLB,de,1
Dark Confidant,FIN,de,1
Dark Endurance,EOE,de,4
Darkstar,TFIN,de,1
Darksteel Citadel,BRC,de,1
Darksteel Citadel,C21,de,2
Darksteel Colossus,FDN,de,1
Darksteel Juggernaut,C18,de,1
Darksteel Pendant,DST,de,1
Darksteel Reactor,EOC,de,1
Darkwater Catacombs,BRC,de,1
Darkwater Catacombs,FIC,en,1
Darkwater Catacombs,OTC,de,1
Dauntless Scrapbot,EOE,de,1
Dauntless Veteran,FDN,de,1
"Davros, Dalek Creator",WHO,de,1
Dawn Charm,CMR,de,1
Dawn's Reflection,C18,de,1
Dawnbringer Cleric,AFR,en,1
Dawnbringer Cleric,CLB,de,1
Dawnstrike Vanguard,EOE,de,2
Day of the Moon,WHO,de,1
Daybreak Combatants,VOW,de,1
Dazzling Angel,FDN,de,2
Dazzling Denial,BLB,de,1
Deadly Dispute,BLC,de,2
Deadly Grub,TSR,de,2
Deadly Plot,FDN,de,1
Deadly Riposte,BRO,de,1
Deadly Riposte,FDN,de,1
Deadwood Treefolk,DMR,de,2
Death Baron,FDN,de,1
Death in Heaven,WHO,de,1
Death-Mask Duplicant,DST,de,1
Deathless Pilot,DFT,de,2
Debris Beetle,DFT,de,1
Debris Field Crusher,EOE,de,1
Debtors' Knell,C21,de,1
Decanter of Endless Water,CLB,de,3
Decode Transmissions,EOE,de,4
Deepfire Elemental,C13,de,1
Deepglow Skate,EOC,de,1
Deeptread Merrow,LRW,de,1
Defy Death,AVR,en,1
Dehydration,10E,de,1
Delete,WHO,de,1
Delighted Halfling,LTR,de,1
Delirium Skeins,MM3,de,2
Delivery Moogle,FIN,de,1
Delver of Secrets // Insectile Aberration,INR,de,1
Delver's Torch,AFR,en,1
Demogorgon's Clutches,AFR,en,2
Demolition Field,FIC,de,1
Demolition Field,FIC,en,1
Demon's Horn,DVD,de,1
Depressurize,EOE,de,3
Depthshaker Titan,EOC,de,1
Descendant of Storms,TDM,de,1
Descendant of Storms,TDM,en,1
Descent into Avernus,CLB,de,2
Desculpting Blast,EOE,de,1
Deserted Beach,INR,de,1
Deserted Temple,EOS,de,1
Desolate Lighthouse,WHO,de,1
Desolate Mire,FIC,de,1
Desolate Mire,FIC,en,1
Desolate Mire,OTC,de,1
Despark,BRC,de,1
Desperate Ritual,MMA,de,1
Detention Chariot,DFT,de,1
Devastating Onslaught,EOE,de,1
Devoted Duelist,TDM,de,1
Devoted Retainer,CHK,de,1
Devouring Greed,MM2,de,2
Devouring Rage,CHK,de,1
Dig Through Time,FIC,en,1
Digsite Engineer,C21,de,1
Dimir Aqueduct,BRC,de,2
Dimir Aqueduct,DSC,de,1
Dimir Guildmage,CLU,de,1
Dimir House Guard,RVR,de,1
Dimir Signet,BRC,de,2
Dinosaur,WMOM,en,1
Dinosaur Dragon,TDFT,de,1
Diplomatic Relations,EOE,de,4
Dire Downdraft,BLB,de,1
Dire Undercurrents,SHM,de,1
Dire Wolf Prowler,AFR,en,1
Diregraf Ghoul,FDN,de,1
Diresight,BLB,de,1
Dirgur Island Dragon // Skimming Strike,TDM,de,1
Disciple of Tevesh Szat,CSP,de,1
Disenchant,BRO,de,1
Disenchant,CST,de,1
Dismal Backwater,DFT,de,3
Dismal Backwater,FDN,de,1
Dismal Backwater,MOM,en,1
Dismal Backwater,TDM,de,1
Dispatch,EOC,de,1
Dispelling Exhale,TDM,de,1
Displacer Kitten,CLB,de,1
Disruption Protocol,NEO,en,1
Disruptive Stormbrood // Petty Revenge,TDM,de,1
Distress,10E,de,2
Divert Disaster,EOE,de,4
Divine Resilience,FDN,de,1
Divine Smite,AFR,en,1
Diving Griffin,8ED,de,2
Dizzy Spell,RAV,de,3
Dockworker Drone,EOE,de,3
"Dogmeat, Ever Loyal",PIP,de,1
Dogpile,RAV,de,1
Dokuchi Silencer,NEO,en,1
Don't Blink,WHO,de,1
Doomsday Confluence,WHO,de,1
Draconautics Engineer,DFT,de,1
Draconic Destiny,BRO,de,1
Draconic Lore,CLB,de,1
Draconic Muralists,CLB,de,2
Dracosaur Auxiliary,DFT,de,2
Drag the Canal,MKM,en,1
Dragon,TCMM,de,1
Dragon Blood,DDL,de,1
Dragon Cultist,CLB,de,2
Dragon Fodder,FDN,de,1
Dragon Sniper,TDM,de,1
Dragon Throne of Tarkir,KTK,en,1
Dragon's Disciple,AFR,de,1
Dragon's Prey,TDM,de,1
Dragonback Lancer,TDM,de,1
Dragonborn Looter,CLB,de,2
Dragonfire Blade,TDM,de,1
Dragonlord's Servant,FDN,de,1
Dragonologist,TDM,de,1
Dragonskull Summit,DSC,de,1
Dragonskull Summit,FIC,de,1
Dragonspark Reactor,NEO,en,1
Dragonstorm Forecaster,TDM,de,1
Dragoon's Lance,FIN,de,1
Dragoon's Wyvern,FIN,de,1
Drake Hatcher,FDN,de,1
"Drakuseth, Maw of Flames",FDN,de,1
Dramatist's Puppet,NEO,en,1
Dreadwing Scavenger,FDN,de,1
Dream Fracture,CLB,de,1
Dream's Grip,MRD,de,1
Dreamscape Artist,TSR,de,1
Dreamstone Hedron,BRC,de,1
Dredger's Insight,DFT,de,2
Dredging Claw,BRO,de,1
Drekavac,DIS,de,1
Drelnoch,CSP,de,1
Drift of Phantasms,RVR,de,2
Drill Too Deep,EOE,de,3
Drill-Skimmer,DST,de,2
Drillworks Mole,CLB,de,1
Dripping-Tongue Zubera,CHK,de,3
Drix Fatemaker,EOE,de,3
Dromad Purebred,RAV,de,2
Drone,TEOE,de,5
Dropkick Bomber,FDN,de,1
Drossforge Bridge,BRC,de,1
