Name,Set code,Language,Quantity
Boulderbranch Golem,BRO,de,1
Scrapwork Mutt,BRO,de,1
Thraxodemon,BRO,de,1
Ornithopter,DMR,de,1
The Mightstone and Weakstone,BRO,de,1
Fallaji Excavation,BRO,de,1
Evangel of Synthesis,BRO,de,1
Battlefield Butcher,BRO,de,1
Mine Worker,BRO,de,1
Third Path Savant,BRO,de,1
Mishra's Onslaught,BRO,de,1
Dwarven Forge-Chanter,BRO,de,1
Gix's Caress,BRO,de,1
Lat-Nam Adept,BRO,de,1
Phalanx Vanguard,BRO,de,1
Roc Hunter,BRO,de,1
Military Discipline,BRO,de,2
Thopter,TBRO,de,4
Copy,TBRC,de,4
Horror,TCMR,de,1
Bojuka Bog,BRC,de,1
Command Tower,BRC,de,2
Goldmire Bridge,BRC,de,1
Mistvault Bridge,BRC,de,2
Path of Ancestry,BRC,de,2
Razortide Bridge,BRC,de,1
Seat of the Synod,BRC,de,2
Vault of Whispers,BRC,de,2
One with the Machine,BRC,de,1
"Tawnos, Solemn Survivor",BRC,de,1
"Sanwell, Avenger Ace",BRC,de,1
Scholar of New Horizons,BRC,de,1
March of Progress,BRC,de,1
Wire Surgeons,BRC,de,1
Wreck Hunter,BRC,de,1
Hexavus,BRC,de,1
Kayla's Music Box,BRC,de,1
Thopter Shop,BRC,de,1
Indomitable Archangel,BRC,de,1
Ethersworn Adjudicator,BRC,de,1
Noxious Gearhulk,BRC,de,1
"Alela, Artful Provocateur",BRC,de,1
Sphinx's Revelation,BRC,de,1
Angel of the Ruins,BRC,de,1
Austere Command,BRC,de,1
Bronze Guardian,BRC,de,1
Digsite Engineer,BRC,de,1
"Losheel, Clockwork Scholar",BRC,de,1
Phyrexian Rebirth,BRC,de,1
Tempered Steel,BRC,de,1
"Teshar, Ancestor's Apostle",BRC,de,1
Unbreakable Formation,BRC,de,1
Urza's Ruinous Blast,BRC,de,1
Bident of Thassa,BRC,de,1
Master of Etherium,BRC,de,1
Sharding Sphinx,BRC,de,1
Shimmer Dragon,BRC,de,1
Thopter Spy Network,BRC,de,1
"Sai, Master Thopterist",BRC,de,1
Thought Monitor,BRC,de,1
Vedalken Humiliator,BRC,de,1
Marionette Master,BRC,de,1
Baleful Strix,BRC,de,1
Sharuum the Hegemon,BRC,de,1
Vindicate,BRC,de,1
Darksteel Juggernaut,BRC,de,1
Etched Champion,BRC,de,1
Myr Battlesphere,BRC,de,1
Solemn Simulacrum,BRC,de,1
Steel Hellkite,BRC,de,1
Steel Overseer,BRC,de,1
Exotic Orchard,BRC,de,2
Prairie Stream,BRC,de,1
River of Tears,BRC,de,1
Skycloud Expanse,BRC,de,1
Spire of Industry,BRC,de,1
Sunken Hollow,BRC,de,1
Temple of Deceit,BRC,de,2
Temple of Enlightenment,BRC,de,1
Temple of Silence,BRC,de,1
Swords to Plowshares,BRC,de,1
Filigree Attendant,BRC,de,1
Whirler Rogue,BRC,de,1
"Armix, Filigree Thrasher",BRC,de,1
Despark,BRC,de,1
Chief of the Foundry,BRC,de,1
Cranial Plating,BRC,de,1
Liquimetal Torque,BRC,de,1
Relic of Progenitus,BRC,de,1
Skullclamp,BRC,de,1
Sol Ring,BRC,de,2
Swiftfoot Boots,BRC,de,1
Thought Vessel,BRC,de,1
Arcane Sanctum,BRC,de,1
Azorius Chancery,BRC,de,1
Darksteel Citadel,BRC,de,1
Dimir Aqueduct,BRC,de,2
Etherium Sculptor,BRC,de,1
Orzhov Basilica,BRC,de,1
Preordain,BRC,de,1
Chrome Courier,BRC,de,1
Orzhov Signet,BRC,de,1
Azorius Signet,BRC,de,1
Dimir Signet,BRC,de,2
Arcane Signet,BRC,de,2
Ash Barrens,BRC,de,2
Ancient Den,BRC,de,1
Servo,TBRC,de,6
Construct,TBRO,de,4
"Urza, Chief Artificer",BRC,de,2
Myr,TBRC,de,5
Faerie,TBRC,de,2
"Mishra, Eminent One",BRC,de,2
Ashnod the Uncaring,BRC,de,1
Glint Raker,BRC,de,1
Terisiare's Devastation,BRC,de,1
Blast-Furnace Hellkite,BRC,de,1
"Farid, Enterprising Salvager",BRC,de,1
Machine God's Effigy,BRC,de,1
Scavenged Brawler,BRC,de,1
Smelting Vat,BRC,de,1
Wondrous Crucible,BRC,de,1
"Muzzio, Visionary Architect",BRC,de,1
"Geth, Lord of the Vault",BRC,de,1
Herald of Anguish,BRC,de,1
"Jhoira, Weatherlight Captain",BRC,de,1
"Silas Renn, Seeker Adept",BRC,de,1
Lithoform Engine,BRC,de,1
"Emry, Lurker of the Loch",BRC,de,1
Master Transmuter,BRC,de,1
"Padeem, Consul of Innovation",BRC,de,1
Workshop Elders,BRC,de,1
"Fain, the Broker",BRC,de,1
Audacious Reshapers,BRC,de,1
Blasphemous Act,BRC,de,1
Chaos Warp,BRC,de,1
Cursed Mirror,BRC,de,1
Hellkite Igniter,BRC,de,1
"Slobad, Goblin Tinkerer",BRC,de,1
Bedevil,BRC,de,1
"Brudiclad, Telchor Engineer",BRC,de,1
Idol of Oblivion,BRC,de,1
Metalwork Colossus,BRC,de,1
Mirrorworks,BRC,de,1
Oblivion Stone,BRC,de,1
Spine of Ish Sah,BRC,de,1
Strionic Resonator,BRC,de,1
Trading Post,BRC,de,1
"Traxos, Scourge of Kroog",BRC,de,1
Darkwater Catacombs,BRC,de,1
Shadowblood Ridge,BRC,de,1
Smoldering Marsh,BRC,de,1
Temple of Epiphany,BRC,de,1
Temple of Malice,BRC,de,1
Fact or Fiction,BRC,de,1
Thirst for Knowledge,BRC,de,1
Abrade,BRC,de,1
Expressive Iteration,BRC,de,1
Oni-Cult Anvil,BRC,de,1
Dreamstone Hedron,BRC,de,1
Fellwar Stone,BRC,de,1
Hedron Archive,BRC,de,1
Ichor Wellspring,BRC,de,1
Mind Stone,BRC,de,1
Servo Schematic,BRC,de,1
Thran Dynamo,BRC,de,1
Buried Ruin,BRC,de,1
Crumbling Necropolis,BRC,de,1
Izzet Boilerworks,BRC,de,1
Myriad Landscape,BRC,de,1
Rakdos Carnarium,BRC,de,1
Reliquary Tower,BRC,de,1
Mnemonic Sphere,BRC,de,1
Thoughtcast,BRC,de,1
Executioner's Capsule,BRC,de,1
Feed the Swarm,BRC,de,1
Faithless Looting,BRC,de,1
Commander's Sphere,BRC,de,1
Mycosynth Wellspring,BRC,de,1
Nihil Spellbomb,BRC,de,1
Prophetic Prism,BRC,de,1
Rakdos Signet,BRC,de,1
Wayfarer's Bauble,BRC,de,1
Drossforge Bridge,BRC,de,1
Great Furnace,BRC,de,1
Silverbluff Bridge,BRC,de,1
Terramorphic Expanse,BRC,de,1
Draconic Destiny,BRO,de,1
Chromatic Star,2XM,de,1
Eldrazi,TBRC,de,1
Mishra's Warform,TBRC,de,1
Phyrexian Myr,TBRC,de,1
Goat,TBRC,de,1
Scrap,TBRC,de,2
Inkling,TBRC,de,2
Ivory Tower,BRR,de,1
