Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Language,Added date
You're Confronted by Robbers,CLB,Commander Legends: Battle for Baldur's Gate,53,normal,common,1,69383,f76e5d23-a45f-4100-8638-fce33f290fc6,de,01.03.2025
Guildsworn Prowler,CLB,Commander Legends: Battle for Baldur's Gate,130,normal,common,3,69321,d7efb10f-c760-431c-8ac6-904965d850dc,de,01.03.2025
Dragonborn Looter,CLB,Commander Legends: Battle for Baldur's Gate,65,normal,common,2,69035,570e8aaa-5273-42f4-b151-51976ab7730c,de,01.03.2025
Command Tower,CLB,Commander Legends: Battle for Baldur's Gate,351,normal,common,2,69121,7eafe88e-ab38-442c-b147-bb01cc81178d,de,01.03.2025
Warehouse Thief,CLB,Commander Legends: Battle for Baldur's Gate,205,normal,common,2,69058,5e7a5951-4f71-47a0-ad80-f236f61d3f22,de,01.03.2025
Charcoal Diamond,CLB,Commander Legends: Battle for Baldur's Gate,305,normal,common,1,69368,f0475c79-bc7f-4de8-a020-226bc658d303,de,01.03.2025
Dream Fracture,CLB,Commander Legends: Battle for Baldur's Gate,66,normal,common,1,69328,daca6a57-38b7-4547-9174-a7f548ea1258,de,01.03.2025
Druid of the Emerald Grove,CLB,Commander Legends: Battle for Baldur's Gate,226,normal,common,2,69148,8a270d07-29da-4c31-ae6a-5f60c162f508,de,01.03.2025
Carnelian Orb of Dragonkind,CLB,Commander Legends: Battle for Baldur's Gate,166,normal,common,2,69355,e7e41166-bdaa-4aed-986a-7be1d043240c,de,01.03.2025
Flaming Fist Officer,CLB,Commander Legends: Battle for Baldur's Gate,19,normal,common,1,69176,98722a04-0674-4083-b6f5-51bb88a99814,de,01.03.2025
Vicious Battlerager,CLB,Commander Legends: Battle for Baldur's Gate,155,normal,common,3,68906,20f939d8-3d41-4d8b-baea-7f022104c704,de,01.03.2025
Psychic Impetus,CLB,Commander Legends: Battle for Baldur's Gate,89,normal,common,1,68927,288e811e-7beb-4379-95a3-e5f4e759aa9d,de,01.03.2025
Young Red Dragon // Bathe in Gold,CLB,Commander Legends: Battle for Baldur's Gate,210,normal,common,1,69305,d0b9865a-be87-48fd-a325-be6aca8a31e9,de,01.03.2025
Run Away Together,CLB,Commander Legends: Battle for Baldur's Gate,92,normal,common,1,69239,b43c6427-6d7d-4a90-b4b9-529895082d60,de,01.03.2025
"Viconia, Drow Apostate",CLB,Commander Legends: Battle for Baldur's Gate,394,normal,uncommon,2,69387,f99ecf8e-3819-4a14-b2e8-8fcd3fef5846,de,01.03.2025
Breath Weapon,CLB,Commander Legends: Battle for Baldur's Gate,165,normal,common,1,68819,0174e40a-0ef5-4439-91e6-3fc39f482520,de,01.03.2025
Mindmoil,RAV,Ravnica: City of Guilds,135,normal,rare,1,27875,0ccc79f7-2f35-4daf-a0c2-775f5fa6c249,de,01.03.2025
Chardalyn Dragon,CLB,Commander Legends: Battle for Baldur's Gate,306,normal,common,1,69209,a950d8be-dcf7-4253-a3cc-c040ba632355,de,01.03.2025
Scaled Nurturer,CLB,Commander Legends: Battle for Baldur's Gate,252,normal,common,1,69137,84ae5a76-b8b9-431d-8060-a6a96f5d1e0b,de,01.03.2025
You Look Upon the Tarrasque,CLB,Commander Legends: Battle for Baldur's Gate,262,normal,uncommon,2,69062,5f00a908-1898-48e9-8b04-88c2450b2dd3,de,01.03.2025
"Kagha, Shadow Archdruid",CLB,Commander Legends: Battle for Baldur's Gate,279,normal,uncommon,2,69068,6351adc8-2e44-4e5c-ae58-975b7332155e,de,01.03.2025
"Erinis, Gloom Stalker",CLB,Commander Legends: Battle for Baldur's Gate,230,normal,uncommon,2,69247,b6a7d041-957a-4b19-9517-214689dadd45,de,01.03.2025
"Astarion, the Decadent",CLB,Commander Legends: Battle for Baldur's Gate,265,normal,rare,3,69072,64d932b9-5682-4427-a871-7d452a488674,de,01.03.2025
Cultist of the Absolute,CLB,Commander Legends: Battle for Baldur's Gate,123,normal,rare,1,69228,b0c7b4af-d521-4f4f-8910-7e05f2f60eb6,de,01.03.2025
"Lulu, Loyal Hollyphant",CLB,Commander Legends: Battle for Baldur's Gate,32,normal,uncommon,3,69086,6d67e95e-c4a7-45bc-ae83-0b532ad530db,de,01.03.2025
Blade of Selves,CLB,Commander Legends: Battle for Baldur's Gate,301,normal,rare,1,69298,ce3367f8-5f5a-4205-909a-247b92a9c082,de,01.03.2025
"Bhaal, Lord of Murder",CLB,Commander Legends: Battle for Baldur's Gate,416,normal,rare,1,68943,2fef6465-987c-461b-8177-b6b7332bbe4e,de,01.03.2025
Raised by Giants,CLB,Commander Legends: Battle for Baldur's Gate,250,normal,rare,3,68860,11c93414-935e-462b-ad89-27ca21d01bf9,de,01.03.2025
Sword Coast Sailor,CLB,Commander Legends: Battle for Baldur's Gate,98,normal,uncommon,2,69093,704f8ab7-63fd-4963-bacd-0076fffb34a1,de,01.03.2025
"Wyll, Blade of Frontiers",CLB,Commander Legends: Battle for Baldur's Gate,208,normal,rare,1,69059,5e9d4562-964d-48ce-b03f-7cb491fa040d,de,01.03.2025
Mind Stone,CLB,Commander Legends: Battle for Baldur's Gate,325,normal,uncommon,1,68882,1969ddc0-ee6c-4c3d-a9dd-7f1c491609be,de,01.03.2025
Stonespeaker Crystal,CLB,Commander Legends: Battle for Baldur's Gate,338,normal,uncommon,1,69153,8c99e6e1-3b88-4d2f-bc5d-70439585a063,de,01.03.2025
Bag of Holding,CLB,Commander Legends: Battle for Baldur's Gate,299,normal,uncommon,1,68931,290f4b4f-4f48-4031-b62a-91a0d6716ddd,de,01.03.2025
Split the Spoils,CLB,Commander Legends: Battle for Baldur's Gate,257,normal,uncommon,1,69031,55893f8b-0fea-40a5-b96d-954c99938810,de,01.03.2025
Druidic Ritual,CLB,Commander Legends: Battle for Baldur's Gate,227,normal,common,1,69025,54935597-b5d0-476d-82f3-42a9201e4556,de,01.03.2025
Marching Duodrone,CLB,Commander Legends: Battle for Baldur's Gate,447,normal,common,2,69061,5eec4350-cd61-4520-98a4-4a14fcbc226f,de,01.03.2025
Goggles of Night,CLB,Commander Legends: Battle for Baldur's Gate,384,normal,common,2,69037,5753e654-f02c-46eb-b5f5-cba1a99a0253,de,01.03.2025
Eldritch Pact,CLB,Commander Legends: Battle for Baldur's Gate,126,normal,rare,1,69318,d578bdc3-1edf-4267-b612-2236b54329c6,de,01.03.2025
Thrakkus the Butcher,CLB,Commander Legends: Battle for Baldur's Gate,295,normal,uncommon,1,68912,2255d1e4-f387-4187-8c10-7d0009f6ec79,de,01.03.2025
Master Chef,CLB,Commander Legends: Battle for Baldur's Gate,241,normal,common,3,69241,b534b1cb-0cd7-4b8c-bb25-42207fcba209,de,01.03.2025
"Safana, Calimport Cutthroat",CLB,Commander Legends: Battle for Baldur's Gate,143,normal,uncommon,1,69356,e9367f66-6556-459c-a43d-5ba7a84b568d,de,01.03.2025
Rug of Smothering,CLB,Commander Legends: Battle for Baldur's Gate,336,normal,uncommon,1,69203,a73d1cb0-d0dc-4f2a-9cf2-954d5889dd08,de,01.03.2025
Arcane Encyclopedia,CLB,Commander Legends: Battle for Baldur's Gate,297,normal,uncommon,1,68818,00ff4cb8-a0e0-4527-a77d-03394065ffe0,de,01.03.2025
Treasure Keeper,CLB,Commander Legends: Battle for Baldur's Gate,341,normal,uncommon,1,69244,b68ab416-3394-4cb6-bfc6-33e62964dd1c,de,01.03.2025
Poison the Blade,CLB,Commander Legends: Battle for Baldur's Gate,248,normal,common,1,68977,3de4bf10-a502-4748-9118-5459684542a7,de,01.03.2025
Marble Diamond,CLB,Commander Legends: Battle for Baldur's Gate,446,normal,common,3,69349,e5c6efa9-f198-4d8c-8a30-36a620679477,de,01.03.2025
"Karlach, Fury of Avernus",CLB,Commander Legends: Battle for Baldur's Gate,186,normal,mythic,1,69109,775480ed-f574-40cb-bd9b-21102eaaff63,de,01.03.2025
"Bjorna, Nightfall Alchemist",SLX,Universes Within,2,normal,rare,1,67442,83b0b716-bcb0-4044-b64a-354e3cbbd563,de,01.03.2025
Luxury Suite,CLB,Commander Legends: Battle for Baldur's Gate,355,normal,rare,1,67512,6fc5fc38-4054-4663-9061-df5455788c4a,de,01.03.2025
Wrathful Red Dragon,CLB,Commander Legends: Battle for Baldur's Gate,207,normal,rare,1,69215,acd207de-eec3-4d82-b8b9-b1e60a7bad12,de,01.03.2025
Feywild Visitor,CLB,Commander Legends: Battle for Baldur's Gate,70,normal,uncommon,1,69145,88e833a9-d82f-4942-a488-67d9c02817db,de,01.03.2025
"Alora, Merry Thief",CLB,Commander Legends: Battle for Baldur's Gate,55,normal,uncommon,1,68894,1c3c779b-d1d8-4b1e-bb06-ed7071a5ec0b,de,01.03.2025
Cut a Deal,CLB,Commander Legends: Battle for Baldur's Gate,14,normal,uncommon,1,68848,0d846a4d-da81-41e0-89a9-6685c821dbb4,de,01.03.2025
Contraband Livestock,CLB,Commander Legends: Battle for Baldur's Gate,12,normal,uncommon,1,69319,d59299b0-91d9-4131-b8d9-614088e1ccaf,de,01.03.2025
Trailblazer's Torch,CLB,Commander Legends: Battle for Baldur's Gate,340,normal,common,1,68842,0c4f76ae-e93b-4ca1-ac62-753707f6319e,de,01.03.2025
Genasi Enforcers,CLB,Commander Legends: Battle for Baldur's Gate,177,normal,common,1,69047,5ac424e1-7806-46ee-84a9-ca2f0dd468a4,de,01.03.2025
Recruitment Drive,CLB,Commander Legends: Battle for Baldur's Gate,38,normal,common,1,69224,afbd2822-d161-41df-9f48-abecd5da19c4,de,01.03.2025
"Wilson, Refined Grizzly",CLB,Commander Legends: Battle for Baldur's Gate,411,normal,uncommon,1,69389,fb3ebc0c-ae58-46c9-addc-a91d32201a95,de,01.03.2025
"Minthara, Merciless Soul",CLB,Commander Legends: Battle for Baldur's Gate,286,normal,uncommon,2,68845,0c9e944b-98fa-4aea-825d-b8b8a9d7ed47,de,01.03.2025
"Minthara, Merciless Soul",CLB,Commander Legends: Battle for Baldur's Gate,432,normal,uncommon,1,69071,64395505-914c-4e10-aed1-818425709b12,de,01.03.2025
Popular Entertainer,CLB,Commander Legends: Battle for Baldur's Gate,192,normal,rare,2,69165,91844266-8b2f-421f-a944-544c51734e64,de,01.03.2025
Citadel Gate,CLB,Commander Legends: Battle for Baldur's Gate,349,normal,common,2,69270,c0e6f002-9a10-49a1-8604-2b8ff57732dd,de,01.03.2025
"Ellyn Harbreeze, Busybody",CLB,Commander Legends: Battle for Baldur's Gate,16,normal,uncommon,2,69190,a038dbc9-0da1-4e65-9369-45c614f285f8,de,01.03.2025
Cloakwood Hermit,CLB,Commander Legends: Battle for Baldur's Gate,221,normal,uncommon,1,69003,4bd8689d-a0c1-4041-bead-7b512fe25663,de,01.03.2025
"Dynaheir, Invoker Adept",CLB,Commander Legends: Battle for Baldur's Gate,273,normal,rare,1,69273,c301b389-d802-4a8b-8681-9b50c8667423,de,01.03.2025
Two-Handed Axe // Sweeping Cleave,CLB,Commander Legends: Battle for Baldur's Gate,203,normal,uncommon,1,68911,21e34888-f57c-4f5d-bb5c-b82be980d145,de,01.03.2025
Passageway Seer,CLB,Commander Legends: Battle for Baldur's Gate,141,normal,uncommon,1,69150,8aeee54a-5e16-4519-b04a-49eaaf896b9a,de,01.03.2025
Giant Ankheg,CLB,Commander Legends: Battle for Baldur's Gate,233,normal,uncommon,1,69256,bc420f2c-09fa-4f90-a1c3-7d151ecaa8b3,de,01.03.2025
Sharpshooter Elf,CLB,Commander Legends: Battle for Baldur's Gate,253,normal,uncommon,1,69301,cfcd60dc-9534-412d-af48-31fcd8ea0843,de,01.03.2025
Hoarding Ogre,CLB,Commander Legends: Battle for Baldur's Gate,181,normal,common,1,69102,746fec80-5ddb-42b8-bc54-728bcd3863b3,de,01.03.2025
Prized Statue,CLB,Commander Legends: Battle for Baldur's Gate,334,normal,common,1,69040,58a49829-c354-4823-8cc1-a159fc46c0d7,de,01.03.2025
