Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Language,Added date,,,,
Cascade Bluffs,TDC,Tarkir: Dragonstorm Commander,345,normal,rare,1,104645,51e0191b-9cd3-466c-8ff8-94c7872746f5,de,02.08.2025,,,,
Clifftop Retreat,TDC,Tarkir: Dragonstorm Commander,351,normal,rare,1,104940,c5e81948-a362-4805-9bdf-ca65488a1a09,de,02.08.2025,,,,
Irrigated Farmland,TDC,Tarkir: Dragonstorm Commander,372,normal,rare,1,104452,1026ec63-e71e-4d0f-ba21-57caf688b4c2,de,02.08.2025,,,,
Glacial Fortress,TDC,Tarkir: Dragonstorm Commander,367,normal,rare,1,104527,2ed2dd5e-f59a-4ce3-a50e-968a1e94f59c,de,02.08.2025,,,,
Exotic Orchard,TDC,Tarkir: Dragonstorm Commander,360,normal,rare,1,104932,c2ea2395-4518-4683-8eed-59c43fb3328a,de,02.08.2025,,,,
Karn's Bastion,RVR,Ravnica Remastered,464,normal,rare,1,89849,aba65477-afd5-4f24-b24e-52b28ed196e8,de,02.08.2025,,,,
The Mycosynth Gardens,ONE,Phyrexia: All Will Be One,256,normal,rare,1,78566,5a931463-25f6-4e31-95b4-bb4a9388009b,de,02.08.2025,,,,
Rugged Prairie,TDC,Tarkir: Dragonstorm Commander,389,normal,rare,1,104770,81ce61b1-5ef2-4562-b289-ceea8f3ee447,de,02.08.2025,,,,
Skycloud Expanse,TDC,Tarkir: Dragonstorm Commander,394,normal,rare,1,104992,d7a89f88-f8f2-43a7-b1f1-d98d3a07c4e3,de,02.08.2025,,,,
Shivan Reef,TDC,Tarkir: Dragonstorm Commander,393,normal,rare,1,104866,a67ddfae-746f-4952-8064-7d48f9f22981,de,02.08.2025,,,,
"Alibou, Ancient Witness",C21,Commander 2021,7,foil,mythic,1,58747,fd2fc2d4-c4fb-4dcb-93fa-aaf8c1182f15,de,02.08.2025,,,,
Thought Monitor,MKC,Murders at Karlov Manor Commander,121,normal,rare,1,90559,e3a7560e-9e75-4abd-a45c-c2c9686ee4b0,de,02.08.2025,,,,
Universal Surveillance,NEC,Neon Dynasty Commander,17,normal,rare,1,66940,4b2f5584-df67-439b-b0f0-9c0fdf62f18f,de,02.08.2025,,,,
