Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Language,Added date
"The Falcon, Airship Restored",FIC,Final Fantasy Commander,45,normal,rare,1,105807,080fc2be-d463-4e8e-ba42-8f3cb0c95ed3,de,08.06.2025
"Interceptor, Shadow's Hound",FIC,Final Fantasy Commander,47,normal,rare,1,105877,30be9a07-5803-4bef-9313-391c926bfcec,de,08.06.2025
Espers to Magicite,FIC,Final Fantasy Commander,43,normal,rare,1,105980,6cb18871-dd23-4ce8-a535-16adefae63c0,de,08.06.2025
General Leo Cristophe,FIC,Final Fantasy Commander,20,normal,rare,1,105891,39384ab7-54da-43e3-8fbc-5c171b7ca7f4,de,08.06.2025
"Siegfried, Famed Swordsman",FIC,Final Fantasy Commander,51,normal,rare,1,105975,69dadb0c-413e-4658-9cdc-23a65df7a800,de,08.06.2025
"Gau, Feral Youth",FIC,Final Fantasy Commander,55,normal,rare,1,106025,89175ce1-0746-4ba1-970e-617d134b0527,de,08.06.2025
"Shadow, Mysterious Assassin",FIC,Final Fantasy Commander,50,normal,rare,1,106244,f88d81d9-8ded-4c20-8237-2218046595fb,de,08.06.2025
Rejoin the Fight,FIC,Final Fantasy Commander,49,normal,rare,1,106238,f3140950-1ce2-41b8-91f9-da53bfbee963,de,08.06.2025
Snort,FIC,Final Fantasy Commander,58,normal,rare,1,105910,46f1179d-6e48-46ed-ab41-abddace7b5d4,de,08.06.2025
Strago and Relm,FIC,Final Fantasy Commander,59,normal,rare,1,106105,a8c971d0-9ac4-4b34-ae19-1152c1c9dac1,de,08.06.2025
"Gogo, Mysterious Mime",FIC,Final Fantasy Commander,56,normal,rare,1,105819,0db05dc8-03f8-4ab4-9ca3-2aaaa0099eb4,de,08.06.2025
"Sabin, Master Monk",FIC,Final Fantasy Commander,57,normal,rare,1,105905,43bacd07-fdaf-4ce4-bf7a-dda55a99d460,de,08.06.2025
"Banon, the Returners' Leader",FIC,Final Fantasy Commander,78,normal,rare,1,105963,63e84ece-b129-457d-84ed-b4280120f08b,de,08.06.2025
"Edgar, Master Machinist",FIC,Final Fantasy Commander,80,normal,rare,1,105813,098a8025-6454-45d8-abe3-2c3dada3f582,de,08.06.2025
Summon: Esper Valigarmanda,FIC,Final Fantasy Commander,60,normal,rare,1,105646,7f0298b4-c7ca-49b8-baaa-b9fad4c2bfd5,de,08.06.2025
"Umaro, Raging Yeti",FIC,Final Fantasy Commander,63,normal,rare,1,105879,31aed8e9-44be-4e7c-85ac-a084eaecaea7,de,08.06.2025
"Mog, Moogle Warrior",FIC,Final Fantasy Commander,89,normal,rare,1,106224,e9cb8ac9-64a0-455d-a8dd-1579ee321bbd,de,08.06.2025
"Setzer, Wandering Gambler",FIC,Final Fantasy Commander,93,normal,rare,1,105954,5e3e5b0f-c702-4671-ad95-ab0cda1ab83d,de,08.06.2025
"Locke, Treasure Hunter",FIC,Final Fantasy Commander,87,normal,rare,1,105902,42cd66f2-0704-4c8e-b5de-6df93f4a8bed,de,08.06.2025
"Kefka, Dancing Mad",FIC,Final Fantasy Commander,84,normal,rare,1,105853,21cfc161-11b8-4253-a872-3b08a13b6991,de,08.06.2025
Tragic Arrogance,FIC,Final Fantasy Commander,258,normal,rare,1,106097,a479784c-3f94-4950-8928-6a1e57bb6627,de,08.06.2025
Archfiend of Depravity,FIC,Final Fantasy Commander,273,normal,rare,1,106108,aa0ba9cb-e45c-4c23-baab-38e01391ec6b,de,08.06.2025
Sun Titan,FIC,Final Fantasy Commander,254,normal,mythic,1,106207,e135d544-2a3e-4b22-ae4d-6c2203769e2a,de,08.06.2025
The Warring Triad,FIC,Final Fantasy Commander,99,normal,rare,1,106064,99fd1cd5-4740-4a0f-b773-3d3b66861d77,de,08.06.2025
Reanimate,FIC,Final Fantasy Commander,282,normal,rare,1,105941,58838b71-404f-41ad-9a9b-2c7f875bab06,de,08.06.2025
Rise of the Dark Realms,FIC,Final Fantasy Commander,283,normal,mythic,1,106054,953c7338-e30d-452c-89ff-0c5fca690b2f,de,08.06.2025
Combustible Gearhulk,FIC,Final Fantasy Commander,292,normal,mythic,1,105805,07cc036d-f46e-490d-adbb-d6974c4e10fd,de,08.06.2025
Sepulchral Primordial,FIC,Final Fantasy Commander,284,normal,rare,1,105919,4a4192e9-ba32-4801-a7f5-b4dad3559e4e,de,08.06.2025
Bedevil,FIC,Final Fantasy Commander,319,normal,rare,1,105861,284fe591-88e6-46f0-8b9c-9ec7d143a2d0,de,08.06.2025
Legions to Ashes,FIC,Final Fantasy Commander,326,normal,rare,1,105892,39fe8402-2f70-4498-a0b6-6a9dd0e2848f,de,08.06.2025
Flayer of the Hatebound,FIC,Final Fantasy Commander,293,normal,rare,1,106261,fe233fa7-bc38-45f5-bfe5-da93877f1075,de,08.06.2025
Ruin Grinder,FIC,Final Fantasy Commander,297,normal,rare,1,106084,a0eafd12-c0c9-4fe3-a4bb-40ab7b64e47c,de,08.06.2025
Key to the City,FIC,Final Fantasy Commander,348,normal,rare,1,106202,df087751-b8bf-4db0-a571-fb32f596fc2e,de,08.06.2025
Solemn Simulacrum,FIC,Final Fantasy Commander,360,normal,rare,1,105964,64d2d473-9157-408a-b088-1489306c1912,de,08.06.2025
Ruinous Ultimatum,FIC,Final Fantasy Commander,329,normal,rare,1,106050,930bc0f5-758a-49a7-ab23-5b74802bcddb,de,08.06.2025
Priest of Fell Rites,FIC,Final Fantasy Commander,328,normal,rare,1,105828,1131c841-d736-4c97-9c80-7e61fa30079d,de,08.06.2025
Desolate Mire,FIC,Final Fantasy Commander,386,normal,rare,1,106085,a0ecbdad-aebf-421d-a71e-e112f8c0e4bb,de,08.06.2025
Dragonskull Summit,FIC,Final Fantasy Commander,387,normal,rare,1,105908,44f78cab-06d4-4786-987f-4d0d15654fd5,de,08.06.2025
Clifftop Retreat,FIC,Final Fantasy Commander,381,normal,rare,1,105866,2cddc851-fef6-4a45-818c-97d3dfc4140d,de,08.06.2025
Battlefield Forge,FIC,Final Fantasy Commander,375,normal,rare,1,106092,a2de3346-9647-4540-ba41-e67c24ddf141,de,08.06.2025
Foreboding Ruins,FIC,Final Fantasy Commander,394,normal,rare,1,106102,a7659f3f-a26a-4097-88ea-d72c3abb5e1d,de,08.06.2025
Furycalm Snarl,FIC,Final Fantasy Commander,397,normal,rare,1,105972,67e44005-d0a5-49d2-b2f7-4b991ffbb5ce,de,08.06.2025
Fetid Heath,FIC,Final Fantasy Commander,391,normal,rare,1,105936,5277f73d-b964-4ce6-823d-ce0fbf0a2d28,de,08.06.2025
Exotic Orchard,FIC,Final Fantasy Commander,390,normal,rare,1,105912,47c2b572-b54a-444c-8d74-b005e94d751f,de,08.06.2025
Isolated Chapel,FIC,Final Fantasy Commander,405,normal,rare,1,106031,8ca61142-d0ed-42cb-9a51-0e44151f2b44,de,08.06.2025
Rugged Prairie,FIC,Final Fantasy Commander,417,normal,rare,1,105894,3d575770-cb81-4353-b49e-cdaca7a5162f,de,08.06.2025
Graven Cairns,FIC,Final Fantasy Commander,401,normal,rare,1,106006,7f33cce1-1484-43da-a825-b090eb5403a4,de,08.06.2025
High Market,FIC,Final Fantasy Commander,402,normal,rare,1,105814,09eeb9f5-4149-47c6-bfd0-472237043672,de,08.06.2025
Smoldering Marsh,FIC,Final Fantasy Commander,425,normal,rare,1,106005,7ddf0ca3-dc64-47ac-87b9-4bd85b173885,de,08.06.2025
Sulfurous Springs,FIC,Final Fantasy Commander,427,normal,rare,1,105889,35b403ee-62cc-4f67-911e-4bf26e495374,de,08.06.2025
Shineshadow Snarl,FIC,Final Fantasy Commander,422,normal,rare,1,106214,e45eff2e-c624-4c59-b192-a9d7dc2eeeba,de,08.06.2025
Shadowblood Ridge,FIC,Final Fantasy Commander,421,normal,rare,1,105925,4d02658c-bbe8-4673-8b44-0b24e0155a85,de,08.06.2025
Laughing Mad,FIN,Final Fantasy,143,normal,common,1,106168,cd5b9daf-6325-4eb4-a069-4a8cc7807884,de,08.06.2025
Angel of the Ruins,FIC,Final Fantasy Commander,229,normal,uncommon,1,106256,fd9c99f0-390d-4ab1-ac0a-b18f1b0af12c,de,08.06.2025
Phoenix Down,FIN,Final Fantasy,29,normal,uncommon,1,105961,62e299b0-9ef6-49d3-aa79-384325fed89e,de,08.06.2025
Sunscorched Divide,FIC,Final Fantasy Commander,433,normal,rare,1,106021,84b648e4-d9c2-426f-8b2a-ef88e9eb25ac,de,08.06.2025
Night's Whisper,FIC,Final Fantasy Commander,280,normal,common,1,105913,47dfd4bd-a7a0-40bd-80e8-16c5ddd91091,de,08.06.2025
Pitiless Plunderer,FIC,Final Fantasy Commander,281,normal,uncommon,1,106029,8ba8b02a-8a05-40cd-8b83-51fd0cc0a7a5,de,08.06.2025
Morbid Opportunist,FIC,Final Fantasy Commander,278,normal,uncommon,1,105906,44b14a83-ba66-4c94-8b67-ebe577024532,de,08.06.2025
Palace Jailer,FIC,Final Fantasy Commander,247,normal,uncommon,1,106077,9f129968-0af6-4ae4-a0c3-6f911a7bae22,de,08.06.2025
Anger,FIC,Final Fantasy Commander,289,normal,uncommon,1,105915,484ade24-6c2c-4f7e-b561-da802a80e0bb,de,08.06.2025
